,df1,df2,df3,df4,df5,df6,df7
1973,-0.016,-0.0809999999999999,-0.12,0.006,-0.016,0.026,-0.1019999999999999
1974,0.008,0.008,-0.1939999999999999,-0.1729999999999999,0.008,0.008,-0.0619999999999999
1975,-0.4479999999999999,-0.173,-0.4479999999999999,-0.406,-0.312,-0.27,-0.4479999999999999
1976,-0.0729999999999999,0.0,-0.159,0.0,-0.159,-0.159,-0.1869999999999999
1977,0.0109999999999998,0.0659999999999999,0.0,0.1809999999999999,0.0659999999999999,0.0659999999999999,0.0
1978,0.0729999999999999,0.167,0.24,0.276,0.156,0.938,0.24
1979,0.0,-0.0729999999999999,-0.0729999999999999,0.1149999999999999,0.104,-0.0729999999999999,-0.0109999999999998
1980,0.0519999999999999,0.0519999999999999,-0.013,0.0,0.0519999999999999,0.0519999999999999,0.0
1981,-0.128,-0.0869999999999999,-0.0659999999999999,0.153,-0.0859999999999999,-0.0869999999999999,-0.0659999999999999
1982,0.2109999999999999,-0.021,-0.0529999999999999,-0.0729999999999999,0.173,0.2109999999999999,-0.0529999999999999
1983,-0.01,0.124,-0.0379999999999999,0.045,0.124,-0.01,0.003
1984,-0.2189999999999999,0.0809999999999999,-0.2189999999999999,-0.177,-0.2189999999999999,-0.211,-0.083
1985,-0.479,-0.4429999999999999,-0.479,-0.646,-0.4429999999999999,-0.646,-0.505
1986,0.088,0.135,0.055,0.088,0.135,0.135,0.128
1987,-0.143,-0.049,-0.1019999999999999,-0.0819999999999999,-0.0819999999999999,-0.0819999999999999,-0.0809999999999999
1988,0.1869999999999999,0.004,0.025,0.024,0.004,0.025,0.025
1989,0.0939999999999999,0.0939999999999999,-0.062,0.0969999999999999,0.0939999999999999,0.0939999999999999,-0.062
1990,-0.146,-0.128,-0.1979999999999999,0.0899999999999999,-0.24,-0.128,-0.042
1991,0.2029999999999999,0.0819999999999999,0.0,0.14,0.0819999999999999,0.0819999999999999,0.0409999999999999
1992,0.0,0.0349999999999999,0.1049999999999999,0.0,0.0349999999999999,0.0319999999999999,0.0319999999999999
1993,-0.0279999999999999,-0.0289999999999999,-0.0409999999999999,-0.0389999999999999,-0.0699999999999999,-0.0289999999999999,-0.0409999999999999
1994,-0.042,-0.001,0.019,0.01,0.0619999999999999,-0.042,0.01
1995,-0.0299999999999999,-0.022,-0.0499999999999999,0.064,-0.022,-0.0299999999999999,-0.0509999999999999
1996,-0.0879999999999999,-0.0379999999999999,-0.015,0.242,-0.0879999999999999,-0.0879999999999999,0.1099999999999999
1997,-0.033,0.885,-0.0949999999999999,-0.0529999999999999,0.2319999999999999,-0.033,-0.0949999999999999
1998,-0.0899999999999999,-0.0479999999999999,-0.0609999999999999,-0.02,-0.0479999999999999,-0.0479999999999999,-0.0499999999999999
1999,-0.159,-0.135,-0.211,0.0489999999999999,-0.135,0.0,-0.211
2000,-0.141,-0.0989999999999999,-0.0469999999999999,0.026,0.067,-0.0469999999999999,0.01
2001,0.0,0.156,0.04,0.677,0.156,0.156,0.04
2002,0.042,0.0819999999999999,0.029,0.51,0.0819999999999999,0.0819999999999999,0.041
2003,-0.0809999999999999,0.0999999999999999,-0.1009999999999999,-0.0809999999999999,0.0999999999999999,0.0999999999999999,-0.1009999999999999
2004,0.577,-0.062,-0.062,-0.044,0.74,-0.062,-0.062
2005,0.042,-0.0109999999999998,-0.0319999999999999,-0.0529999999999999,0.167,-0.0109999999999998,-0.0319999999999999
2006,-0.271,-0.136,-0.167,-0.027,-0.0939999999999999,-0.1979999999999999,-0.167
2007,-0.2330000000000001,-0.02,-0.066,0.0719999999999999,-0.08,-0.08,-0.066
2008,-0.166,-0.025,-0.178,-0.156,-0.025,-0.025,-0.062
2009,0.0,0.008,0.0,0.0499999999999999,0.28,0.2169999999999999,0.2079999999999999
2010,-0.187,0.74,-0.178,-0.178,-0.187,-0.187,-0.187
2011,0.0,-0.01,0.0829999999999999,-0.042,-0.01,-0.01,0.0829999999999999
2012,-0.021,0.843,0.062,0.026,0.236,0.559,-0.0319999999999999
2013,0.453,0.0,-0.0779999999999999,0.62,-0.026,0.0,0.0
2014,0.0,0.094,0.021,0.17,0.125,0.141,0.0
2015,-0.02,-0.02,-0.021,0.2819999999999999,-0.02,-0.02,-0.02
2016,0.125,0.132,-0.0319999999999999,0.271,0.397,-0.0319999999999999,0.125
2017,0.0,0.02,-0.001,0.1139999999999999,0.0,0.02,-0.001
2018,0.0,0.062,0.062,0.2189999999999999,0.0729999999999999,0.062,0.062
2019,-0.2969999999999999,-0.3169999999999999,-0.3169999999999999,-0.286,-0.3169999999999999,-0.3169999999999999,-0.3169999999999999
2020,-0.0629999999999999,-0.0629999999999999,-0.0629999999999999,0.1909999999999999,-0.0849999999999999,-0.0629999999999999,-0.0629999999999999
2021,0.0,0.0,-0.045,0.757,0.0,0.0,-0.045
2022,-0.161,-0.3339999999999999,-0.173,-0.376,-0.198,-0.3339999999999999,-0.136
2023,-0.123,-0.0809999999999999,-0.0809999999999999,-0.0809999999999999,-0.123,-0.123,-0.0829999999999999
2024,-0.2259999999999999,-0.2259999999999999,-0.2289999999999999,0.062,-0.2259999999999999,-0.2259999999999999,-0.2289999999999999
2025,-0.029,-0.029,0.0,0.144,-0.029,-0.029,0.013
2026,0.0,-0.2059999999999999,-0.2009999999999999,-0.0709999999999999,-0.17,-0.0799999999999999,-0.1809999999999999
2027,0.0839999999999999,0.2189999999999999,-0.1079999999999999,-0.021,0.2189999999999999,0.2189999999999999,-0.041
2028,-0.1619999999999999,0.047,-0.1619999999999999,-0.1829999999999999,0.047,-0.1619999999999999,-0.1619999999999999
2029,-0.271,-0.42,-0.4479999999999999,-0.375,-0.42,-0.4279999999999999,-0.4479999999999999
2030,0.2089999999999999,-0.312,-0.145,-0.303,-0.312,-0.135,-0.145
2031,-0.239,-0.146,-0.239,-0.239,-0.281,-0.281,-0.239
2032,-0.0839999999999999,-0.0839999999999999,-0.0839999999999999,-0.075,-0.064,-0.064,-0.064
2033,-0.187,-0.067,-0.208,-0.208,-0.038,-0.1139999999999999,-0.1079999999999999
2034,-0.083,0.0679999999999999,0.0839999999999999,-0.073,-0.083,-0.083,0.0839999999999999
2035,-0.162,-0.162,0.008,0.008,-0.162,-0.162,0.6920000000000001
2036,0.0,0.2009999999999999,0.0,0.0279999999999999,0.2009999999999999,0.0399999999999999,0.0
2037,-0.026,-0.0999999999999999,-0.026,-0.0799999999999999,-0.0999999999999999,-0.0579999999999999,0.245
2038,-0.0399999999999999,-0.0199999999999999,-0.0619999999999999,-0.0619999999999999,-0.0819999999999999,-0.0199999999999999,-0.0619999999999999
2039,-0.125,-0.0579999999999999,-0.258,-0.03,-0.2139999999999999,-0.1869999999999999,-0.258
2040,0.1049999999999999,0.0649999999999999,-0.021,-0.042,0.1149999999999999,0.1149999999999999,-0.021
2041,0.0,0.0199999999999999,-0.021,0.0319999999999999,-0.021,-0.021,-0.021
2042,-0.1939999999999999,-0.0409999999999999,-0.1319999999999999,-0.0999999999999999,0.129,0.129,-0.0899999999999999
2043,-0.0199999999999999,0.0,0.159,0.0,0.011,-0.009,0.159
2044,0.203,-0.0109999999999998,-0.0109999999999998,0.2290000000000001,0.125,0.125,-0.0109999999999998
2045,0.042,0.031,0.042,0.0879999999999999,1.0,0.802,0.042
2046,-0.281,-0.281,-0.281,-0.166,-0.281,-0.281,-0.281
2047,-0.1759999999999999,-0.1669999999999999,-0.01,-0.1459999999999999,-0.135,-0.135,-0.135
2048,-0.02,-0.061,-0.032,-0.011,-0.061,-0.061,-0.02
2049,0.237,0.072,-0.1169999999999999,0.1009999999999999,-0.027,0.072,-0.1169999999999999
2050,-0.0499999999999999,-0.01,-0.0629999999999999,-0.0609999999999999,0.035,-0.0499999999999999,-0.0599999999999999
2051,0.0,0.02,0.02,0.1869999999999999,0.0399999999999999,-0.042,0.02
2052,-0.022,-0.022,-0.011,0.01,-0.022,-0.022,-0.022
2053,-0.1009999999999999,-0.1009999999999999,-0.121,-0.09,-0.048,-0.048,-0.121
2054,-0.0399999999999999,-0.0399999999999999,-0.0409999999999999,-0.012,-0.0399999999999999,-0.0399999999999999,-0.0409999999999999
