,df1,df2,df3,df4,df5,df6,df7
2128,-0.016,0.484,-0.297,0.484,0.484,0.484,-0.297
2129,-0.172,-0.172,-0.172,-0.032,-0.032,-0.172,-0.172
2130,0.024,0.024,-0.14,0.157,0.18,0.235,0.024
2131,-0.469,-0.368,-0.368,-0.469,-0.368,-0.368,-0.368
2132,-0.089,0.0909999999999999,-0.197,-0.197,-0.19,-0.19,-0.19
2133,0.0699999999999999,-0.055,-0.133,0.2109999999999999,0.0779999999999999,0.0779999999999999,0.1089999999999999
2134,-0.047,-0.187,-0.125,-0.047,-0.258,-0.125,-0.125
2135,0.1119999999999999,0.2679999999999999,0.009,0.0489999999999999,-0.06,0.1119999999999999,0.291
2136,-0.2819999999999999,0.096,-0.1259999999999999,-0.2819999999999999,0.0,0.0,-0.118
2137,-0.68,0.0,-0.75,0.0,0.0,0.0,-0.75
2138,0.039,0.015,0.172,0.047,-0.0779999999999999,0.242,0.656
2139,-0.68,-0.617,-0.515,-0.453,-0.617,-0.617,-0.515
2140,-0.1709999999999999,-0.195,-0.062,-0.289,-0.195,-0.0459999999999999,-0.062
2141,-0.071,0.0929999999999999,0.0929999999999999,-0.071,0.0929999999999999,0.0,0.0929999999999999
2142,0.2269999999999999,0.422,0.0,0.0419999999999999,0.36,0.016,0.0
2143,0.562,-0.3049999999999999,-0.368,0.078,-0.3049999999999999,-0.3049999999999999,-0.368
2144,-0.121,0.356,-0.0889999999999999,-0.121,0.028,0.028,0.044
2145,-0.68,0.0,-0.68,0.0,0.0,0.0,-0.68
2146,-0.617,-0.617,-0.68,-0.493,-0.617,-0.789,-0.617
2147,0.0,-0.617,-0.515,0.0,-0.617,0.0,-0.515
2148,0.875,0.445,0.008,0.1169999999999999,0.445,0.875,0.008
2149,-0.156,0.625,-0.156,0.344,0.625,-0.133,-0.156
2150,0.077,0.445,-0.367,0.445,0.445,0.445,-0.367
2151,-0.531,0.0,-0.617,-0.641,0.0,0.0,-0.617
2152,0.367,0.367,-0.1169999999999999,-0.36,0.367,-0.141,-0.25
2153,0.179,0.039,-0.164,-0.063,0.0,0.0,-0.164
2154,0.312,-0.36,-0.3829999999999999,-0.172,-0.454,-0.1569999999999999,-0.3829999999999999
2155,-0.084,0.0559999999999999,0.0559999999999999,-0.209,0.0559999999999999,0.0559999999999999,0.6809999999999999
2156,0.2269999999999999,0.078,-0.14,-0.14,0.2269999999999999,0.0,-0.14
2157,0.1789999999999999,0.0,0.0,-0.125,0.0,0.0,0.0
2158,0.328,0.172,0.274,0.789,0.789,0.591,0.078
2159,0.0699999999999999,-0.162,-0.162,-0.162,-0.162,0.0699999999999999,-0.162
2160,-0.453,-0.719,-0.761,-0.68,-0.297,-0.47,-0.453
2161,-0.133,-0.0699999999999999,0.029,-0.1089999999999999,-0.2809999999999999,-0.1089999999999999,0.029
2162,-0.258,-0.258,-0.422,-0.195,-0.258,-0.258,-0.422
2163,-0.196,-0.2039999999999999,-0.032,-0.157,0.0,0.0,-0.032
2164,0.641,0.067,-0.14,0.032,0.067,0.641,-0.14
2165,0.0,0.2339999999999999,0.07,-0.008,0.125,0.2339999999999999,0.07
2166,-0.08,0.0839999999999999,0.1159999999999999,0.6,0.0839999999999999,0.0,0.1159999999999999
2167,0.001,-0.1159999999999999,-0.3199999999999999,0.368,-0.1159999999999999,-0.1159999999999999,0.368
2168,0.2259999999999999,0.289,0.2259999999999999,0.265,0.289,0.422,0.547
2169,-0.015,0.477,-0.25,-0.015,0.477,0.477,-0.164
2170,-0.297,-0.243,-0.297,0.0,-0.266,-0.319,-0.297
2171,-0.14,0.024,-0.1169999999999999,0.641,-0.0929999999999999,0.024,0.024
2172,0.0,0.0,-0.641,-0.648,0.0,0.0,0.0
2173,0.242,0.922,0.195,0.058,0.922,0.922,0.242
2174,-0.313,0.367,-0.344,-0.25,0.155,0.155,-0.344
2175,-0.297,0.484,0.484,0.1009999999999999,0.484,0.484,0.484
2176,0.0,-0.617,-0.781,-0.609,-0.617,-0.617,0.0
2177,-0.149,-0.149,-0.375,-0.149,-0.149,-0.149,-0.2239999999999999
2178,-0.375,-0.4459999999999999,-0.531,-0.507,-0.507,-0.531,-0.3359999999999999
2179,0.0,-0.223,-0.766,-0.578,-0.223,-0.223,-0.672
2180,0.617,0.617,0.0,0.617,0.617,0.617,0.0
2181,0.172,0.172,-0.633,0.172,0.172,-0.5549999999999999,-0.297
2182,0.2109999999999999,0.2109999999999999,0.1019999999999999,0.758,0.2109999999999999,0.758,0.1019999999999999
2183,0.453,0.453,-0.172,-0.0549999999999999,0.453,0.453,-0.172
2184,-0.274,0.0,-0.0939999999999999,-0.274,0.218,-0.266,-0.274
2185,0.0389999999999999,0.5,-0.18,-0.288,0.5,0.1019999999999999,0.0389999999999999
2186,-0.003,-0.003,0.033,0.2269999999999999,-0.003,-0.1009999999999999,-0.023
2187,0.455,0.667,-0.2159999999999999,0.1079999999999999,0.667,0.05,0.011
2188,-0.477,-0.556,-0.5389999999999999,-0.477,-0.556,-0.556,-0.5389999999999999
2189,-0.008,0.773,0.156,0.0,0.773,0.773,0.156
2190,0.546,-0.0629999999999999,0.343,-0.0319999999999999,0.546,-0.0319999999999999,-0.1099999999999999
2191,-0.321,-0.321,0.359,-0.422,-0.321,-0.125,-0.2189999999999999
