,df1,df2,df3,df4,df5,df6,df7
2127,-0.137,0.1029999999999999,-0.403,-0.2289999999999999,0.1029999999999999,0.1029999999999999,-0.4509999999999999
2128,0.0609999999999999,0.1479999999999999,-0.024,0.02,0.1479999999999999,0.1479999999999999,-0.024
2129,-0.008,-0.008,-0.008,-0.124,-0.124,-0.008,-0.008
2130,0.0,0.1509999999999999,-0.071,0.0639999999999999,0.0,0.0819999999999999,-0.061
2131,-0.123,0.182,0.0,-0.149,0.182,0.146,0.0
2132,-0.0559999999999999,-0.137,-0.47,-0.47,-0.387,-0.387,-0.387
2133,0.4309999999999999,0.121,0.1649999999999999,0.3259999999999999,0.1719999999999999,0.1719999999999999,0.1649999999999999
2134,0.2819999999999999,0.0279999999999999,0.134,0.1879999999999999,0.0279999999999999,0.134,0.134
2135,-0.2119999999999999,-0.246,-0.0699999999999999,-0.1069999999999999,-0.1519999999999999,-0.246,-0.0699999999999999
2136,0.18,0.18,-0.1759999999999999,0.142,0.0,0.0,-0.1759999999999999
2137,0.0949999999999999,-0.043,-0.323,-0.068,-0.043,-0.286,-0.323
2138,0.262,0.076,0.076,0.067,-0.0259999999999999,0.076,0.076
2139,0.402,0.386,0.129,0.189,-0.137,-0.137,0.129
2140,-0.12,-0.015,-0.05,-0.161,-0.015,-0.05,-0.05
2141,0.0699999999999999,0.323,-0.196,0.0919999999999999,0.01,0.0,-0.196
2142,0.346,0.128,-0.0649999999999999,0.1129999999999999,0.15,-0.0859999999999999,-0.0649999999999999
2143,-0.485,-0.443,-0.463,-0.253,-0.443,-0.443,-0.463
2144,-0.241,-0.157,-0.412,0.0359999999999999,-0.455,-0.455,-0.3429999999999999
2145,-0.3389999999999999,0.148,-0.26,0.121,0.1699999999999999,0.1699999999999999,-0.0839999999999999
2146,0.116,0.16,-0.1119999999999999,0.008,-0.0409999999999999,0.001,0.087
2147,0.1539999999999999,-0.1069999999999999,-0.1129999999999999,0.2729999999999999,0.2149999999999999,-0.186,-0.1129999999999999
2148,0.25,0.3049999999999999,-0.011,-0.053,0.3049999999999999,0.25,-0.011
2149,0.016,0.1109999999999999,0.016,0.1109999999999999,0.1109999999999999,0.056,0.016
2150,-0.363,-0.068,-0.412,-0.246,-0.068,-0.068,-0.412
2151,-0.071,-0.236,-0.161,-0.303,-0.236,-0.236,-0.161
2152,0.078,0.068,0.0,0.082,0.068,-0.002,0.1109999999999999
2153,0.0,-0.1549999999999999,-0.2099999999999999,-0.1549999999999999,-0.0389999999999999,-0.0389999999999999,-0.2099999999999999
2154,-0.0939999999999999,-0.188,-0.188,-0.014,-0.348,-0.2159999999999999,-0.188
2155,0.0479999999999999,0.118,0.2799999999999999,0.118,0.245,0.245,0.2799999999999999
2156,0.3419999999999999,0.1789999999999999,0.0439999999999999,0.1159999999999999,0.3419999999999999,0.0,0.1159999999999999
2157,0.2789999999999999,0.0219999999999999,0.008,-0.149,0.0219999999999999,0.0,0.008
2158,-0.119,-0.101,-0.2599999999999999,-0.115,-0.101,-0.344,-0.284
2159,0.0,-0.165,-0.165,-0.165,-0.165,0.0,-0.165
2160,-0.014,-0.177,-0.1139999999999999,0.0879999999999999,-0.206,-0.265,-0.188
2161,0.0,0.19,0.196,-0.018,-0.1159999999999999,-0.018,0.196
2162,0.257,-0.248,-0.04,0.257,-0.248,-0.248,-0.04
2163,0.1489999999999999,0.0339999999999999,0.1159999999999999,-0.072,0.0339999999999999,0.0339999999999999,0.1159999999999999
2164,0.199,0.199,0.137,0.162,0.199,0.199,0.137
2165,0.0,0.33,0.04,0.135,0.172,0.33,-0.004
2166,-0.04,-0.04,-0.022,0.374,-0.04,-0.04,-0.022
2167,0.145,0.145,0.0469999999999999,0.006,0.145,0.145,0.006
2168,0.0959999999999999,-0.1060000000000001,-0.159,-0.096,-0.159,-0.1060000000000001,-0.01
2169,-0.0639999999999999,-0.2179999999999999,-0.2249999999999999,-0.1119999999999999,-0.2179999999999999,-0.2179999999999999,-0.2249999999999999
2170,0.036,0.214,0.036,0.296,0.214,0.162,0.036
2171,-0.166,-0.1039999999999999,-0.071,0.186,-0.2339999999999999,-0.071,-0.071
2172,0.179,-0.2279999999999999,-0.2779999999999999,-0.268,-0.268,-0.1899999999999999,0.003
2173,0.0499999999999999,-0.055,0.0959999999999999,0.0069999999999998,-0.055,-0.18,0.0959999999999999
2174,-0.149,-0.1919999999999999,-0.239,-0.004,-0.149,-0.149,-0.239
2175,-0.1159999999999999,0.07,0.07,0.067,0.07,0.07,0.07
2176,0.0,0.236,-0.1109999999999999,-0.0699999999999999,0.236,0.236,0.0
2177,0.172,-0.049,-0.196,0.0779999999999999,-0.049,-0.049,-0.041
2178,-0.417,-0.3089999999999999,-0.546,-0.4579999999999999,-0.4579999999999999,-0.38,-0.3399999999999999
2179,0.027,-0.112,-0.5129999999999999,-0.099,-0.112,-0.112,0.065
2180,-0.04,0.217,-0.0999999999999999,-0.0729999999999999,0.217,0.217,0.213
2181,-0.127,-0.127,-0.1699999999999999,-0.01,-0.127,-0.127,-0.2819999999999999
2182,-0.1419999999999999,-0.1419999999999999,-0.2169999999999999,0.248,-0.1419999999999999,-0.0509999999999999,-0.0509999999999999
2183,0.034,0.034,0.155,0.094,0.034,0.034,0.155
2184,0.008,0.231,-0.0269999999999999,0.008,0.135,0.231,-0.0519999999999999
2185,-0.047,-0.216,-0.244,-0.25,-0.057,-0.216,-0.003
2186,-0.027,-0.2139999999999999,-0.0509999999999999,0.0949999999999999,-0.2139999999999999,-0.2139999999999999,0.001
2187,0.203,0.791,0.056,0.189,0.791,0.301,0.2250000000000001
2188,0.118,-0.4619999999999999,-0.37,-0.122,-0.4619999999999999,-0.4619999999999999,-0.37
2189,0.005,0.353,0.2279999999999999,0.0,0.353,0.353,0.2279999999999999
2190,0.377,-0.124,0.004,0.1079999999999999,-0.1139999999999999,-0.267,-0.2099999999999999
2191,-0.241,-0.162,0.179,-0.152,0.014,-0.162,-0.241
2192,0.265,-0.0649999999999999,-0.127,0.023,0.05,0.163,-0.127
2193,-0.551,-0.698,-0.76,-0.548,-0.902,-0.698,-0.76
2194,0.02,0.02,0.026,0.863,0.0,0.0,0.026
2195,0.458,0.01,0.268,0.2029999999999999,0.462,0.276,0.268
2196,-0.019,0.0279999999999999,0.011,0.3299999999999999,-0.043,-0.043,0.134
2197,-0.3429999999999999,-0.26,-0.165,0.0,-0.26,-0.3429999999999999,-0.165
2198,0.31,0.765,0.0,0.0799999999999999,0.061,0.061,0.171
2199,-0.0889999999999999,0.135,0.12,0.0769999999999999,0.0769999999999999,0.0769999999999999,-0.016
2200,0.25,-0.147,-0.127,-0.032,-0.147,-0.147,-0.127
2201,0.536,0.118,0.237,0.214,0.118,0.3,0.443
2202,0.131,0.0429999999999999,-0.197,-0.059,0.0429999999999999,0.1169999999999999,-0.197
2203,-0.408,-0.644,-0.517,-0.548,-0.644,-0.644,-0.27
2204,-0.147,0.056,-0.0869999999999999,-0.0929999999999999,0.0,0.0,-0.0869999999999999
2205,-0.029,0.2539999999999999,-0.023,0.2949999999999999,0.4199999999999999,0.0879999999999999,0.0219999999999999
2206,-0.4469999999999999,-0.12,-0.06,-0.132,-0.12,-0.12,-0.06
2207,0.2319999999999999,0.3340000000000001,0.054,0.508,0.3340000000000001,0.378,0.137
2208,-0.0989999999999999,-0.0989999999999999,-0.269,-0.238,-0.0989999999999999,-0.0989999999999999,-0.066
2209,0.359,0.2089999999999999,0.2729999999999999,0.4629999999999999,0.2089999999999999,0.2089999999999999,0.2729999999999999
2210,-0.132,0.305,-0.119,0.0539999999999999,-0.1109999999999999,-0.1109999999999999,-0.025
2211,-0.0769999999999999,-0.0769999999999999,-0.2789999999999999,0.096,-0.0769999999999999,-0.0769999999999999,-0.0399999999999999
2212,-0.4009999999999999,-0.2769999999999999,0.162,0.551,-0.2769999999999999,-0.2769999999999999,0.551
2213,-0.031,-0.049,-0.05,-0.024,-0.049,-0.049,-0.008
2214,0.363,0.181,-0.0739999999999999,0.0,0.049,-0.021,-0.0739999999999999
2215,0.451,0.296,-0.0209999999999999,0.2330000000000001,0.082,0.1100000000000001,-0.0209999999999999
2216,0.945,0.118,0.2319999999999999,0.1949999999999999,0.354,0.2319999999999999,0.2319999999999999
2217,0.418,0.245,-0.025,0.147,0.0,0.323,-0.025
2218,-0.158,0.0539999999999999,-0.235,0.2779999999999999,0.0539999999999999,0.0539999999999999,-0.235
2219,-0.1819999999999999,-0.021,-0.149,-0.021,-0.3269999999999999,-0.3269999999999999,-0.244
2220,-0.381,-0.1089999999999999,-0.3209999999999999,-0.357,-0.3209999999999999,-0.3269999999999999,-0.3209999999999999
2221,0.413,0.148,0.205,0.3390000000000001,0.135,0.135,0.3430000000000001
2222,0.194,-0.138,-0.1099999999999999,-0.045,0.635,-0.13,0.206
2223,-0.292,-0.843,-0.665,-0.897,-0.713,-0.713,-0.54
2224,-0.254,-0.1939999999999999,-0.1939999999999999,-0.1119999999999999,-0.1939999999999999,-0.1939999999999999,-0.1939999999999999
2225,0.377,0.1149999999999999,0.0799999999999999,-0.1959999999999999,0.151,-0.066,0.037
2226,-0.0809999999999999,-0.001,0.014,-0.0559999999999999,-0.001,-0.001,0.014
2227,0.169,0.085,0.062,0.16,0.2250000000000001,0.381,0.314
2228,0.003,0.003,0.003,0.003,0.003,0.003,0.003
2229,0.1049999999999999,0.048,-0.0599999999999999,0.1009999999999999,0.048,0.1019999999999999,-0.0599999999999999
2230,-0.045,-0.045,-0.0879999999999999,-0.135,-0.045,-0.045,-0.045
2231,-0.2899999999999999,-0.1369999999999999,-0.1369999999999999,-0.1109999999999999,-0.1369999999999999,-0.1369999999999999,-0.1369999999999999
2232,0.098,-0.286,-0.041,0.019,-0.286,-0.286,-0.041
2233,0.3769999999999999,0.2039999999999999,-0.258,0.0499999999999999,0.2039999999999999,0.2039999999999999,0.1139999999999999
2234,0.04,-0.0489999999999999,0.04,0.058,0.014,0.014,0.212
2235,0.089,0.081,-0.1469999999999999,0.321,0.081,0.263,0.081
2236,0.0,-0.1079999999999999,-0.025,-0.03,0.0,-0.053,-0.025
2237,-0.2239999999999999,-0.2239999999999999,0.008,-0.2239999999999999,-0.119,-0.119,-0.256
2238,0.2309999999999999,0.1699999999999999,-0.031,-0.011,-0.031,0.1699999999999999,-0.161
2239,0.5349999999999999,0.139,0.163,0.24,0.139,0.139,0.265
2240,0.1079999999999999,0.0739999999999999,-0.032,0.1779999999999999,0.0739999999999999,0.0739999999999999,-0.032
2241,0.254,0.372,-0.159,-0.172,0.027,0.1769999999999999,-0.159
2242,-0.382,-0.0389999999999999,0.009,-0.1589999999999999,-0.382,-0.0389999999999999,-0.382
2243,-0.007,0.058,0.0,-0.0209999999999999,0.058,0.058,0.0
2244,0.316,0.2319999999999999,0.216,0.285,0.2319999999999999,0.355,0.216
2245,-0.025,-0.1079999999999999,0.039,0.141,0.1869999999999999,-0.1079999999999999,0.039
2246,0.2179999999999999,0.165,-0.017,0.442,0.165,0.165,-0.138
2247,-0.305,-0.305,-0.305,-0.477,-0.305,-0.305,-0.305
2248,-0.064,0.1549999999999999,-0.064,-0.253,0.1549999999999999,0.1959999999999999,-0.064
2249,0.184,0.241,0.19,0.268,0.089,0.089,0.349
2250,0.257,-0.0699999999999999,-0.0599999999999999,0.022,-0.0699999999999999,-0.0699999999999999,0.257
2251,-0.34,-0.21,-0.438,-0.315,-0.121,-0.121,-0.438
2252,-0.147,0.1629999999999999,-0.188,-0.147,0.1629999999999999,0.1629999999999999,-0.12
2253,-0.091,-0.02,-0.196,-0.152,0.0259999999999999,-0.02,-0.091
2254,0.061,0.1039999999999999,0.069,0.092,0.1039999999999999,0.1039999999999999,0.069
2255,-0.2269999999999999,-0.089,-0.382,-0.015,-0.089,-0.089,-0.312
2256,0.5289999999999999,0.5289999999999999,0.3079999999999999,0.1809999999999999,0.5289999999999999,0.5289999999999999,0.3389999999999999
2257,-0.0509999999999999,0.251,0.1060000000000001,-0.1099999999999999,0.208,0.208,0.1060000000000001
2258,0.57,0.552,-0.1119999999999999,-0.1009999999999999,-0.1009999999999999,-0.1009999999999999,0.0
2259,0.135,-0.0429999999999999,-0.129,0.008,-0.0429999999999999,-0.0429999999999999,-0.129
2260,0.0,-0.1099999999999999,-0.255,-0.146,0.0439999999999999,0.0419999999999999,-0.255
2261,0.4459999999999999,0.0509999999999999,-0.132,0.2829999999999999,0.2719999999999999,-0.02,-0.132
2262,0.016,0.068,0.1109999999999999,0.239,0.068,0.068,0.1109999999999999
2263,-0.159,-0.159,-0.159,0.04,-0.159,-0.152,-0.1149999999999999
2264,-0.455,-0.098,-0.3949999999999999,-0.201,-0.223,-0.223,-0.3949999999999999
2265,-0.004,-0.061,0.004,-0.004,-0.061,-0.206,0.004
2266,-0.3139999999999999,0.088,-0.1959999999999999,-0.3139999999999999,0.088,0.088,-0.0729999999999999
2267,-0.1899999999999999,-0.148,-0.1989999999999999,-0.2329999999999999,-0.1149999999999999,-0.2029999999999999,-0.1989999999999999
2268,-0.0349999999999999,0.238,-0.1799999999999999,-0.125,0.238,0.238,0.033
2269,-0.177,-0.177,-0.055,-0.179,-0.177,-0.177,0.051
2270,0.123,0.1119999999999999,0.0,0.317,0.1119999999999999,0.1119999999999999,0.0
2271,0.079,0.079,0.008,0.305,0.079,0.079,0.008
2272,-0.288,-0.022,-0.1939999999999999,-0.022,-0.288,-0.022,-0.1939999999999999
2273,-0.008,0.013,0.0409999999999999,0.0959999999999999,-0.139,-0.129,0.0409999999999999
2274,0.249,0.436,0.049,0.202,0.268,0.436,0.049
2275,0.033,0.449,0.1769999999999999,0.1769999999999999,0.267,0.449,0.1769999999999999
2276,-0.198,-0.2679999999999999,-0.2409999999999999,-0.2679999999999999,-0.2679999999999999,-0.2679999999999999,-0.3509999999999999
2277,-0.414,0.0469999999999999,-0.363,0.068,-0.033,-0.033,0.0399999999999999
2278,0.0699999999999999,0.353,-0.067,-0.138,0.53,0.136,-0.041
2279,0.031,-0.144,-0.135,-0.018,0.337,-0.018,-0.135
2280,0.0699999999999999,0.0699999999999999,0.0699999999999999,0.037,0.0699999999999999,0.0699999999999999,0.0699999999999999
2281,0.0649999999999999,-0.1079999999999999,-0.076,0.235,-0.1079999999999999,0.045,0.135
2282,0.241,0.0469999999999999,0.2089999999999999,0.0469999999999999,0.0469999999999999,0.0469999999999999,0.2089999999999999
2283,0.0,-0.008,-0.1169999999999999,-0.102,0.288,-0.197,0.0
2284,0.0389999999999999,-0.094,0.0389999999999999,0.292,-0.004,-0.004,0.0389999999999999
2285,0.1079999999999999,0.1079999999999999,0.028,0.028,0.075,0.013,0.1079999999999999
2286,0.2789999999999999,0.1059999999999999,0.008,0.01,0.0,-0.052,0.008
2287,0.4649999999999999,0.1939999999999999,0.0699999999999999,0.292,0.141,0.235,0.235
2288,0.3640000000000001,0.3640000000000001,0.329,0.5700000000000001,0.3640000000000001,0.155,0.329
2289,0.1129999999999999,0.177,0.1129999999999999,0.1129999999999999,0.1129999999999999,0.1129999999999999,0.2079999999999999
2290,0.318,-0.0399999999999999,-0.2049999999999999,-0.1499999999999999,-0.1439999999999999,-0.1439999999999999,-0.2049999999999999
2291,0.156,-0.039,0.0899999999999999,-0.034,-0.039,-0.039,0.162
2292,0.1919999999999999,0.0969999999999999,0.0,0.3089999999999999,0.0969999999999999,0.0969999999999999,0.0
2293,-0.135,0.0,-0.169,-0.075,-0.308,-0.169,-0.135
2294,-0.1779999999999999,0.0,-0.3019999999999999,-0.2909999999999999,0.0,-0.1099999999999999,-0.1709999999999999
2295,-0.289,0.0,-0.162,-0.142,-0.175,-0.175,-0.162
2296,-0.274,-0.0439999999999999,-0.344,-0.2109999999999999,-0.0439999999999999,-0.274,-0.274
2297,0.009,0.009,-0.2959999999999999,-0.248,0.009,0.009,-0.137
2298,0.048,0.281,-0.2009999999999999,-0.02,0.142,0.142,-0.134
2299,0.175,0.0,-0.007,0.0,0.0,0.0,0.127
2300,0.313,0.2289999999999999,0.136,0.1069999999999999,0.09,-0.003,0.072
2301,0.0699999999999999,0.008,-0.055,0.139,0.008,0.008,-0.055
2302,0.0279999999999999,0.0279999999999999,-0.362,-0.042,0.0279999999999999,0.0279999999999999,-0.082
2303,0.1049999999999999,0.173,-0.004,0.325,0.325,0.063,0.023
2304,0.0,-0.0699999999999999,0.0,-0.1099999999999999,-0.0829999999999999,-0.1129999999999999,0.13
2305,0.365,0.1629999999999999,0.1099999999999999,0.3199999999999999,0.1989999999999999,0.384,0.1099999999999999
2306,-0.184,-0.057,-0.097,0.006,-0.021,-0.021,0.344
2307,0.112,-0.0529999999999999,-0.4109999999999999,-0.3999999999999999,-0.0529999999999999,-0.0529999999999999,-0.4109999999999999
2308,-0.2759999999999999,0.106,-0.1169999999999999,-0.1499999999999999,-0.0599999999999999,-0.119,-0.1169999999999999
2309,-0.373,-0.288,-0.373,-0.128,-0.066,-0.2159999999999999,-0.393
2310,0.126,-0.01,-0.024,-0.1509999999999999,-0.01,-0.2779999999999999,0.028
2311,0.298,0.346,-0.145,-0.0789999999999999,0.346,0.1009999999999999,-0.145
